duration,terrain,area,rainfall
4.0,S,90.0,624.1880472072859
4.0,S,100.0,617.2616659981281
4.0,S,200.0,573.8539302451929
4.0,S,300.0,546.1491839598132
4.0,S,400.0,525.8332783269949
4.0,S,500.0,509.2119876582702
4.0,S,600.0,494.89949072593134
4.0,S,700.0,483.35707914650476
4.0,S,800.0,472.73841862700795
4.0,S,900.0,463.50480078396726
4.0,S,1000.0,455.1945447252306
5.0,S,1e-05,960.0
5.0,S,1.0,856.5182511030887
5.0,S,2.0,839.865818384303
5.0,S,3.0,828.3058894017173
5.0,S,4.0,818.5996909490032
5.0,S,5.0,810.2816493777515
5.0,S,6.0,804.2727908185112
5.0,S,7.0,798.7267809783004
5.0,S,8.0,793.6436198571189
5.0,S,9.0,788.5616265628147
5.0,S,10.0,784.4029950528146
5.0,S,20.0,755.75659102872
5.0,S,30.0,736.8167747329654
5.0,S,40.0,722.0355899472108
5.0,S,50.0,710.0276047193746
5.0,S,60.0,699.8671216113979
5.0,S,70.0,690.630778838977
5.0,S,80.0,681.8572847855853
5.0,S,90.0,674.4688334086496
5.0,S,100.0,667.5424521994919
5.0,S,200.0,619.0605086647677
5.0,S,300.0,589.5105959132829
5.0,S,400.0,568.2721070474121
5.0,S,500.0,549.8056499125823
5.0,S,600.0,535.0318613637171
5.0,S,700.0,523.4894497842905
5.0,S,800.0,511.4869144152149
5.0,S,900.0,501.792004955648
5.0,S,1000.0,493.0204572803851
6.0,S,1e-05,1000.0
6.0,S,1.0,900.3409546730846
6.0,S,2.0,886.4562716534566
6.0,S,3.0,875.3576342873972
6.0,S,4.0,865.6514358346831
6.0,S,5.0,857.7946858799576
6.0,S,6.0,851.3245357041911
6.0,S,7.0,844.8559426309279
6.0,S,8.0,840.2340731262725
6.0,S,9.0,835.6133714484946
6.0,S,10.0,830.9934483219682
6.0,S,20.0,800.9631694482948
6.0,S,30.0,781.5620615360139
6.0,S,40.0,765.8586827928326
6.0,S,50.0,752.927725056318
6.0,S,60.0,741.8446587152889
