area,zone,duration,depth
35.0,COAST_S,72.0,2433.247
35.0,COAST_S,96.0,2731.16
35.0,COAST_S,120.0,2858.12
35.0,SWWA_W,24.0,586.854
35.0,SWWA_W,36.0,744.216
35.0,SWWA_W,48.0,782.869
35.0,SWWA_W,72.0,815.148
35.0,SWWA_W,96.0,846.296
35.0,INLAND_S,24.0,972.07
35.0,INLAND_S,36.0,1128.691
35.0,INLAND_S,48.0,1272.72
35.0,INLAND_S,72.0,1529.001
35.0,INLAND_S,96.0,1722.536
35.0,COAST_W,24.0,830.437
35.0,COAST_W,36.0,999.667
35.0,COAST_W,48.0,1097.58
35.0,COAST_W,72.0,1231.42
35.0,COAST_W,96.0,1270.72
35.0,COAST_W,120.0,1310.47
40.0,COAST_S,24.0,1347.14
40.0,COAST_S,36.0,1652.308
40.0,COAST_S,48.0,1931.075
40.0,COAST_S,72.0,2429.04
40.0,COAST_S,96.0,2728.541
40.0,COAST_S,120.0,2849.668
40.0,SWWA_W,24.0,585.828
40.0,SWWA_W,36.0,742.833
40.0,SWWA_W,48.0,781.568
40.0,SWWA_W,72.0,813.624
40.0,SWWA_W,96.0,844.973
40.0,INLAND_S,24.0,970.298
40.0,INLAND_S,36.0,1125.778
40.0,INLAND_S,48.0,1269.274
40.0,INLAND_S,72.0,1524.196
40.0,INLAND_S,96.0,1716.605
40.0,COAST_W,24.0,829.494
40.0,COAST_W,36.0,998.694
40.0,COAST_W,48.0,1096.489
40.0,COAST_W,72.0,1230.578
40.0,COAST_W,96.0,1269.643
40.0,COAST_W,120.0,1309.084
45.0,COAST_S,24.0,1344.876
45.0,COAST_S,36.0,1649.399
45.0,COAST_S,48.0,1927.59
45.0,COAST_S,72.0,2424.949
45.0,COAST_S,96.0,2723.84
45.0,COAST_S,120.0,2844.34
45.0,SWWA_W,24.0,585.099
45.0,SWWA_W,36.0,741.911
45.0,SWWA_W,48.0,780.616
45.0,SWWA_W,72.0,812.292
45.0,SWWA_W,96.0,843.642
45.0,INLAND_S,24.0,968.686
